ARGV: /home/augus/src/llama.cpp-master/build/bin/llama-server -m /home/augus/models/qwen36-35b-a3b-mtp/Qwen3.6-35B-A3B-UD-Q4_K_M.gguf --host 127.0.0.1 --port 8080 -fa on --ctx-size 73728 --parallel 4 --jinja --n-cpu-moe 8 --cache-type-k q8_0 --cache-type-v q8_0 
0.00.969.776 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.01.126.351 W srv  llama_server: -----------------
0.01.126.362 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.01.126.362 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.01.126.362 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.01.126.362 W srv  llama_server: -----------------
0.01.132.057 I srv    load_model: loading model '/home/augus/models/qwen36-35b-a3b-mtp/Qwen3.6-35B-A3B-UD-Q4_K_M.gguf'
0.01.693.295 W llama_model_loader: tensor overrides to CPU are used with mmap enabled - consider using --no-mmap for better performance
0.08.802.033 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 18432, kv_unified = 'false'
0.08.813.415 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.08.813.458 I srv  llama_server: model loaded
0.08.813.461 I srv  llama_server: listening on http://127.0.0.1:8080
0.20.854.311 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.20.854.361 I slot launch_slot_: id  3 | task 1 | processing task, is_child = 0
0.22.335.669 I slot print_timing: id  3 | task 1 | prompt eval time =    1118.84 ms /   760 tokens (    1.47 ms per token,   679.28 tokens per second)
0.22.335.684 I slot print_timing: id  3 | task 1 |        eval time =     362.43 ms /    32 tokens (   11.33 ms per token,    88.29 tokens per second)
0.22.335.684 I slot print_timing: id  3 | task 1 |       total time =    1481.27 ms /   792 tokens
0.22.335.688 I slot print_timing: id  3 | task 1 |    graphs reused =         30
0.22.335.730 I slot      release: id  3 | task 1 | stop processing: n_tokens = 791, truncated = 0
0.23.348.312 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.961
0.23.348.369 I slot launch_slot_: id  3 | task 36 | processing task, is_child = 0
0.26.416.264 I slot print_timing: id  3 | task 36 | n_decoded =    275, tg =  91.66 t/s, tg_3s =  91.66 t/s
0.29.418.465 I slot print_timing: id  3 | task 36 | n_decoded =    551, tg =  91.80 t/s, tg_3s =  91.93 t/s
0.32.423.528 I slot print_timing: id  3 | task 36 | n_decoded =    824, tg =  91.48 t/s, tg_3s =  90.85 t/s
0.34.603.906 I slot print_timing: id  3 | task 36 | prompt eval time =      67.80 ms /     4 tokens (   16.95 ms per token,    59.00 tokens per second)
0.34.603.918 I slot print_timing: id  3 | task 36 |        eval time =   11181.35 ms /  1024 tokens (   10.92 ms per token,    91.58 tokens per second)
0.34.603.918 I slot print_timing: id  3 | task 36 |       total time =   11249.15 ms /  1028 tokens
0.34.603.919 I slot print_timing: id  3 | task 36 |    graphs reused =       1048
0.34.603.941 I slot      release: id  3 | task 36 | stop processing: n_tokens = 1783, truncated = 0
0.47.584.112 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
0.47.584.163 I slot launch_slot_: id  2 | task 1061 | processing task, is_child = 0
0.52.457.742 I slot print_timing: id  2 | task 1061 | prompt eval time =    2165.97 ms /  2487 tokens (    0.87 ms per token,  1148.22 tokens per second)
0.52.457.755 I slot print_timing: id  2 | task 1061 |        eval time =    2592.72 ms /   256 tokens (   10.13 ms per token,    98.74 tokens per second)
0.52.457.756 I slot print_timing: id  2 | task 1061 |       total time =    4758.68 ms /  2743 tokens
0.52.457.756 I slot print_timing: id  2 | task 1061 |    graphs reused =       1301
