ARGV: /home/augus/src/llama.cpp-master/build/bin/llama-server -m /home/augus/models/qwen36-35b-a3b-mtp/Qwen3.6-35B-A3B-UD-Q4_K_M.gguf --host 127.0.0.1 --port 8080 -fa on --ctx-size 73728 --parallel 4 --jinja --n-cpu-moe 8 --cache-type-k q8_0 --cache-type-v q8_0 --spec-type draft-mtp --spec-draft-n-max 4
0.00.181.705 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.317.895 W srv  llama_server: -----------------
0.00.317.908 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.317.908 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.317.908 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.317.908 W srv  llama_server: -----------------
0.00.320.611 I srv    load_model: loading model '/home/augus/models/qwen36-35b-a3b-mtp/Qwen3.6-35B-A3B-UD-Q4_K_M.gguf'
0.01.108.452 W llama_model_loader: tensor overrides to CPU are used with mmap enabled - consider using --no-mmap for better performance
0.03.687.557 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 18432, kv_unified = 'false'
0.03.764.945 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.03.764.988 I srv  llama_server: model loaded
0.03.764.990 I srv  llama_server: listening on http://127.0.0.1:8080
0.10.538.084 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.10.538.150 I slot launch_slot_: id  3 | task 1 | processing task, is_child = 0
0.11.849.591 I slot print_timing: id  3 | task 1 | prompt eval time =    1081.22 ms /   760 tokens (    1.42 ms per token,   702.91 tokens per second)
0.11.849.603 I slot print_timing: id  3 | task 1 |        eval time =     230.17 ms /    32 tokens (    7.19 ms per token,   139.03 tokens per second)
0.11.849.603 I slot print_timing: id  3 | task 1 |       total time =    1311.39 ms /   792 tokens
0.11.849.606 I slot print_timing: id  3 | task 1 |    graphs reused =          5
0.11.849.609 I slot print_timing: id  3 | task 1 | draft acceptance = 1.00000 (   24 accepted /    24 generated), mean len =  5.00
0.11.849.652 I slot      release: id  3 | task 1 | stop processing: n_tokens = 791, truncated = 0
0.12.861.339 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.961
0.12.861.393 I slot launch_slot_: id  3 | task 12 | processing task, is_child = 0
0.15.941.142 I slot print_timing: id  3 | task 12 | n_decoded =    422, tg = 139.64 t/s, tg_3s = 139.63 t/s
0.22.169.926 I slot print_timing: id  3 | task 12 | n_decoded =    777, tg = 128.44 t/s, tg_3s = 117.26 t/s
0.22.675.708 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
0.22.675.754 I slot launch_slot_: id  2 | task 244 | processing task, is_child = 0
